abv,cluster
AGE,Cluster1
BIO,Cluster1
EIS,Cluster1
IAL,Cluster1
IBI,Cluster1
ICO,Cluster1
IIL,Cluster1
IQI,Cluster1
IST,Cluster1
MAT,Cluster1
TUR,Cluster1
ATI,Cluster2
ATS,Cluster2
BIM,Cluster2
COM,Cluster2
DHT,Cluster2
EDT,Cluster2
EMA,Cluster2
HIS,Cluster2
IER,Cluster2
QAP,Cluster2
AIA,Cluster3
COI,Cluster3
CSL,Cluster3
ECO,Cluster3
EDU,Cluster3
IFI,Cluster3
LLA,Cluster3
ACT,Cluster4
ADM,Cluster4
AVI,Cluster4
CPT,Cluster4
CPU,Cluster4
DER,Cluster4
EFT,Cluster4
ICL,Cluster4
IME,Cluster4
MKT,Cluster4
NUT,Cluster4
PSI,Cluster4
QFB,Cluster4
TRA,Cluster4
ARQ,Cluster5
ENF,Cluster5
ISW,Cluster5
MCI,Cluster5
MVZ,Cluster5
ODO,Cluster5
REH,Cluster5
