programa,abv,facultad
Arquitectura,ARQ,Arquitectura
Artes Visuales,AVI,Arquitectura
Diseño del Hábitat,DHT,Arquitectura
Antropología Social,ATS,Ciencias Antropológicas
Agroecología,AGE,Medicina Veterinaria y Zootecnia
Arqueología,AIA,Ciencias Antropológicas
Biología,BIO,Medicina Veterinaria y Zootecnia
Comunicación Social,CSL,Ciencias Antropológicas
Biología Marina,BIM,Medicina Veterinaria y Zootecnia
Historia,HIS,Ciencias Antropológicas
Médico Veterinario Zootecnista,MVZ,Medicina Veterinaria y Zootecnia
Literatura Latinoamericana,LLA,Ciencias Antropológicas
Enfermería Mérida,ENF,Enfermería
Turismo,TUR,Ciencias Antropológicas
Trabajo Social,TRA,Enfermería
Administración,ADM,Contaduría y Administración
Médico Cirujano,MCI,Medicina
Admón. Tecnologías de Información,ATI,Contaduría y Administración
Nutrición,NUT,Medicina
Rehabilitación,REH,Medicina
Cirujano Dentista,ODO,Odontología
Químico Farmacéutico Biólogo,QFB,Química
Ingeniería Civil,ICL,Ingeniería
Ingeniería Física,IFI,Ingeniería
Ingeniería en Energías Renovables,IER,Ingeniería
Ingeniería en Mecatrónica,IME,Ingeniería
Ingeniería en Alimentos,IAL,Ingeniería
Contador Público Mérida,CPU,Contaduría y Administración
Mercadotecnia y Negocios Internacionales,MKT,Contaduría y Administración
Derecho,DER,Derecho
Educación Mérida,EDU,Educación
Enseñanza del Idioma Inglés,EIS,Educación
Comercio Internacional,COI,Economía
Economía,ECO,Economía
Psicología,PSI,Psicología
Derecho Virtual,DVI,Derecho
Química Aplicada,QAP,Ingeniería Química
Ingeniería en Biotecnología,IBI,Ingeniería Química
Ingeniería Industrial Logística,IIL,Ingeniería Química
Ingeniería Química Industrial,IQI,Ingeniería Química
Actuaría,ACT,Matemáticas
Ciencias de la Computación,COM,Matemáticas
Enseñanza de las Matemáticas,EMA,Matemáticas
Ingeniería de Software Mérida,ISW,Matemáticas
Ingeniería en Computación,ICO,Matemáticas
Matemáticas,MAT,Matemáticas
Contador Público Tizimín,CPT,Unidad Multidisciplinaria Tizimín
Educación Tizimín,EDT,Unidad Multidisciplinaria Tizimín
Enfermería Tizimín,EFT,Unidad Multidisciplinaria Tizimín
Ingeniería de Software Tizimín,IST,Unidad Multidisciplinaria Tizimín
Ingeniería de Software Virtual,ISWV,Matemáticas
